"COMPETITOR NAMES, as at 6:21AM on Thursday 24th"
DAY 1: Saturday 19th September 2026
Race,Time,Event #,Event Type,Round,Division,Names
80 (V),10:15,96,M Mst E 4X-,final,A,"Sylvain Livernois, Shaun Stuart-Jones, Phillip Lee, Steve Barns, Hugh Ritchie, Wayne Bickers, Guy Aitchison, Thomas Taylor, Steve Glen, Simon Taylor, Paul Johnston, Paul Middleditch, Peter Fraser, Kelvin Maker, Ger Sheehan, Nathan Jones, Bradley Taylor, Mike Harrison, Andrew Webster, Mladen Macanovic"
81 (W),10:20,97,Mx A-C 8+,final,A,"Mark Swinburne, Scott Alderson, Tanya McDermott, Karen Verwey, Alice Kalmancsi, Eve Mulder, Scott Griffin, Daniel Norman, Jacqueline Griffin, Sarah Brennan, Tim Russell, Chloe Readman-Bell, Josh Adam, Adam Howie, Hamish Peters, Jaedyn Thompson, Stacey Wyatt, Amy Robson, Stuart Fraser, Brian Wilson, Anna Loftus, Matt Bailey, Rachael Corcoran, Wade Vivian, Katy Amundsen Newton, Jane McGimpsey, Sue O'Leary"
82 (X),10:25,86,W MNw 2X,final,A,"Sophia Bidwell, Kelly Lavalley, Maryam Naminimianji, Terri-Ann Fetting, Leona Walpert, Felicity Newport, Naomi Carter, Tracey McMillan, Trish Rice, Amandine Frezouls, Michelle Reaks, Danielle Davies, Faith McGregor, Elly Arnst, Rebecca Jones, Amanda Johnstone"
83 (Y),11:00,101,M Mst E 2X,final,A,"Evan Brown, Attila Karpati, Derek Wanders, Myles Johnson, David Speed, Phillip Lee, Martin Sharrock, Steve Westlake, Kevin O'Hagan, Andrew Wakelin, Jerome Feuillade, Richie McFelin, Shaun Stuart-Jones, Steve Barns"
84 (Z),11:05,102,Mx A-C 2X,division,1,"Nicola Goss, Callum Windley, Ashlea Quirk, Scott Alderson, Holly Gray, Hugo Verdonk"
85 (A),11:10,102,Mx A-C 2X,division,2,"Natasha Baldwin, Andrew Bealing, Rachel Chellappa, Wing Kam, Luke Edhouse, Kristy Edhouse, Alex Hunter, Stewart Widger, Alice Beban-France, Miles McBain, Jason O'Callaghan, Jill Edwards"
86 (B),11:15,102,Mx A-C 2X,division,3,"Danielle Davies, Jasper Baur, Felicity Newport, Rory Whitfield, Scott Griffin, Alice Kalmancsi, Amandine Frezouls, Valentin Frezouls, Niklas Reisser, Carmen Lammerding"
87 (C),11:20,103,M Mst D 4X-,final,A,"Paul Middleditch, Simon Taylor, Josh Kempthorne, Paul Johnston, Mark Edgecombe, Stephen Porteners, Richard Rennie, Dave Derecourt, Richard Moir, Scott Inglis, Chas Todhunter, Andreas Giannakogiorgos"
88 (D),11:25,104,M Mst I 1X,final,A,"Neville Robertson"
88 (D),11:25,108,M Mst H 1X,final,A,"Chris Fotherby, Graham Watt, Richard Brock"
89 (E),11:30,106,Mx MNw 4X+,final,A,"Stuart Fraser, Katy Amundsen Newton, Brian Wilson, Anna Loftus, Sue O'Leary, Mandy Good, Simon Harper, Rachel Lockwood, Evans Chogumaira, Belle Woods, Faith McGregor, Wade Vivian, Matt Bailey, Elly Arnst, Misha Young, Anna Taylor, Sarah Sinclair, Riaan van Greuning, Nathan Reeve, Tony Corkery, Hugh Ritchie, Quentin de Groot, Hayley Tamati, Lisa Somerset, Maryam Naminimianji, Amanda Taylor, Kimberley Jenkinson, Bradley Taylor, Glen Strachan, Carolyn Harrison, Emma Lowe, Lou Trent, Thomas Taylor, Wayne Bickers, Aly Miehlbradt"
90 (F),11:35,107,Mx MNv 4X+,final,A,"Ashika Lal, Catriona Farac, Parkwai Mak, Wiebe Baron, Wing Kam, Garritt van Dyk, Pita Shelford, Karen Billinghurst, Naomi Carter, Harriet Wilson, Luke Edhouse, Menno van der Laan, Claudia Hellberg, Vanessa Mace, Susan Lands"
